Inventory Item Details;;;;;;;;;;;;
شركة الكوب الاول;;;;;;;;;;;;
For the period 1 January 2025 to 31 December 2025;;;;;;;;;;;;
;;;;;;;;;;;;
Date;Source;Reference;Contact;Description;Total;Unit Cost Price;Unit Sale Price;Value Movement;QoH Movement;Profit per Item;Revenue Account;Inventory Account
;;;;;;;;;;;;
GB002A- قهوة رواندي طبيعة اخضر - Rawanda Natural (1Kg) R221;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;8,446.88;208.0000;0.00;;
26 فبراير 2025;Payable Credit Note;7205;امر تحميص مستودع البن الاخضر;Rawanda Natural (1Kg) R221;(1,502.57);40.61;40.61;(1,502.57);(37.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 مارس 2025;Adjustment;Quantity Increase;;جرد 29/3;20.31;40.61;0.00;20.31;0.5000;0.00;;635 - مخزون البن الاخضر
19 مايو 2025;Payable Credit Note;7213;امر تحميص مستودع البن الاخضر;Rawanda Natural (1Kg) R221;(487.32);40.61;40.61;(487.32);(12.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
24 يونيو 2025;Payable Credit Note;7218;امر تحميص مستودع البن الاخضر;Rawanda Natural (1Kg) R221;(974.64);40.61;40.61;(974.64);(24.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
26 يونيو 2025;Adjustment;Quantity Decrease;;جرد 25/6;(20.31);40.61;0.00;(20.31);(0.5000);0.00;;635 - مخزون البن الاخضر
14 سبتمبر 2025;Payable Credit Note;7223;امر تحميص مستودع البن الاخضر;Rawanda Natural (1Kg) R221;(974.64);40.61;40.61;(974.64);(24.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
16 سبتمبر 2025;Payable Credit Note;7224;امر تحميص مستودع البن الاخضر;Rawanda Natural (1Kg) R221;(974.64);40.61;40.61;(974.64);(24.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
